연번,지방청,경찰서,관서명,구분,전화번호,주소
1,서울청,서울중부,을지,지구대,02-2279-1908,서울특별시 중구 을지로 234
2,서울청,서울중부,광희,지구대,02-2233-1444,서울특별시 중구 퇴계로 375-1
3,서울청,서울중부,약수,지구대,02-2234-8112,"서울특별시 중구 동호로 5길 15, 약수지구대"
4,서울청,서울중부,신당,파출소,02-2252-0435,"서울특별시 중구 다산로 248 (신당동, 신당파출소)"
5,서울청,서울중부,장충,파출소,02-2274-9003,서울특별시 중구 동호로 261
6,서울청,서울중부,충무,파출소,02-2278-7710,서울특별시 중구 퇴계로 178
7,서울청,서울중부,을지로3가,파출소,02-2266-2404,서울특별시 중구 충무로56-1
8,서울청,서울종로,종로2가,파출소,02-3701-4301,서울특별시 종로구 종로17길 4 종로2가파출소
9,서울청,서울종로,관수,파출소,02-3701-4302,서울특별시 종로구 삼일대로 386
10,서울청,서울종로,세검정,파출소,02-3701-4507,서울특별시 종로구 세검정로 226 
11,서울청,서울종로,평창,파출소,02-3701-4308,서울특별시 종로구 평창문화로 46
12,서울청,서울종로,삼청,파출소,02-3701-4303,서울특별시 종로구 삼청로 66
13,서울청,서울종로,통의,파출소,02-3701-4304,서울특별시 종로구 효자로 9
14,서울청,서울종로,청운,파출소,02-3701-4305,서울특별시 종로구 자하문로 92-1
15,서울청,서울종로,옥인,파출소,02-3701-4506,서울특별시 종로구 자하문로17길 24
16,서울청,서울종로,교남,파출소,02-3701-4310,서울특별시 종로구 송월길 167(교북동 10-38)
17,서울청,서울종로,세종로,파출소,02-3701-4312,서울특별시 중구 세종대로 141
18,서울청,서울종로,신문로,파출소,02-3701-4311,서울특별시 종로구 경희궁길 6-3
19,서울청,서울종로,사직,파출소,02-3701-4309,서울특별시 종로구 사직로9길 1
20,서울청,서울종로,청진,파출소,02-3701-4313,서울특별시 종로구 삼봉로 33 청진파출소
21,서울청,서울남대문,태평로,파출소,02-777-2593,서울특별시 중구 다동길 11
22,서울청,서울남대문,서울역,파출소,02-778-1875,서울특별시 중구 통일로 13
23,서울청,서울남대문,명동,파출소,02-771-0268,서울특별시 중구 명동길 30 명동파출소
24,서울청,서울남대문,남대문,파출소,02-778-7041,서울특별시 중구 남대문시장4길 28-16
25,서울청,서울남대문,중림,파출소,02-363-6344,서울특별시 중구 중림로 36
26,서울청,서울남대문,회현,파출소,02-778-3390,서울특별시 중구 퇴계로6길 3-10
27,서울청,서울남대문,서소문,파출소,02-777-1942,서울특별시 중구 서소문로 131-1 서소문파출소
28,서울청,서울서대문,충정로,지구대,02-335-8301,서울특별시 서대문구 독립문로 25-1
29,서울청,서울서대문,신촌,지구대,02-335-8302,서울특별시 서대문구 신촌역로 22
30,서울청,서울서대문,홍은,파출소,02-335-8303,서울특별시 서대문구 세검정로1길 112
31,서울청,서울서대문,연희,파출소,02-335-8304,서울특별시 서대문구 연희로25길 73
32,서울청,서울서대문,남가좌,파출소,02-335-8305,서울특별시 서대문구 가재울로4길 51
33,서울청,서울서대문,북가좌,파출소,02-335-8306,서울특별시 서대문구 증가로 244
34,서울청,서울서대문,홍제,파출소,02-335-8307,서울특별시 서대문구 통일로 441-1
35,서울청,서울서대문,홍은2,파출소,02-335-8308,서울특별시 서대문구 연희로 298
